KPI,Strategy,Benchmark SPY
Monthly sharpe,1.817,0.732
Monthly sortino,7.4968,1.2364
Monthly mean,27.8%,11.31%
Monthly volatility,15.3%,15.45%
Monthly skewness,2.1547%,-0.6159%
Monthly kurtosis,7.8351,1.7364
Best month,27.09%,13.65%
Worst month,-12.83%,-19.88%
