KPI,Strategy,Benchmark SPY
Avg. drawdown,-2.4%,-3.45%
Avg. drawdown duration in days,39,64
Avg. up month,4.73%,3.48%
Avg. down month,-0.48%,-3.67%
%Positive years,100%,81.48%
%Positive months last year,100%,80.62%
