,date,equity_curve,benchmark
0,1994-01-07,0.0,0.0
1,1994-01-14,0.0,0.0
2,1994-01-21,0.0,-0.0006595793845710629
3,1994-01-28,0.0,0.0
4,1994-02-04,0.0,-0.018930052668804875
5,1994-02-11,0.0,-0.015013857669292974
6,1994-02-18,-0.005961840707601085,-0.0208879502743049
7,1994-02-25,-0.007286153276064078,-0.02219372618551463
8,1994-03-04,-0.00993565741142699,-0.024804545062328764
9,1994-03-11,-0.006624470298683405,-0.021540605019944592
10,1994-03-18,0.0,-0.013270579863252308
11,1994-03-25,0.0,-0.034935185953297365
12,1994-04-01,0.0,-0.06316538551106465
13,1994-04-08,0.0,-0.061195494250208204
14,1994-04-15,0.0,-0.06316538551106465
15,1994-04-22,0.0,-0.057584537779514666
16,1994-04-29,0.0,-0.052661142255746696
17,1994-05-06,-0.007619911117882738,-0.05988245551436622
18,1994-05-13,-0.012815154861203326,-0.06480625082664604
19,1994-05-20,-0.012815154861203326,-0.04281368489402437
20,1994-05-27,-0.012815154861203326,-0.03624802479488354
21,1994-06-03,-0.012815154861203326,-0.028698485168012766
22,1994-06-10,-0.012815154861203326,-0.03132429611402232
23,1994-06-17,-0.012815154861203326,-0.029876395386840393
24,1994-06-24,-0.012815154861203326,-0.06820605233164978
25,1994-07-01,-0.012815154861203326,-0.05763204598100935
26,1994-07-08,-0.00521081133421597,-0.05036262483812726
27,1994-07-15,0.0,-0.04011957674390243
28,1994-07-22,-0.0010305544333542027,-0.04111078572768334
29,1994-07-29,0.0,-0.02921567823954463
30,1994-08-05,-0.0027184396348064466,-0.03185927977433256
31,1994-08-12,-0.0027184396348064466,-0.020294397597004687
32,1994-08-19,-0.0027184396348064466,-0.018311513209512187
33,1994-08-26,-0.0027184396348064466,0.0
34,1994-09-02,-0.0027184396348064466,-0.008191326077203631
35,1994-09-09,-0.0027184396348064466,-0.014416453746632807
36,1994-09-16,-0.0027184396348064466,-0.008092745257780143
37,1994-09-23,-0.0027184396348064466,-0.03149736468097675
38,1994-09-30,-0.0027184396348064466,-0.025892926165477004
39,1994-10-07,-0.0027184396348064466,-0.04105765590404631
40,1994-10-14,0.0,-0.007433073072041219
41,1994-10-21,0.0,-0.017652441824432263
42,1994-10-28,0.0,0.0
43,1994-11-04,0.0,-0.027869401246038317
44,1994-11-11,0.0,-0.026229839149554346
45,1994-11-18,0.0,-0.02491846548185872
46,1994-11-25,0.0,-0.04590188992899191
47,1994-12-02,0.0,-0.04393466513608446
48,1994-12-09,-0.011310790752585231,-0.054754302922257025
49,1994-12-16,0.0,-0.032345683750427456
50,1994-12-23,0.0,-0.025736505041641933
51,1994-12-30,-0.010848974308697579,-0.03631180871122752
