KPI,Strategy,Benchmark SPY
Yearly sharpe,1.4296,0.6847
Yearly sortino, (N/A)*No negative years,1.4423
Yearly mean,32.63%,12.8%
Yearly volatility,22.83%,18.69%
Yearly skew,2.9289,-1.0253
Yearly kurtosis,11.9895,1.0355
Best year,128.46%,38.05%
Worst year,5.64%,-39.4%
